date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
2016-01-15,-2.39,-0.155905,-2.4015,97.13,97.71,"Jan 15, 16",95.36,96.2,AAPL,97.13,97.71,95.36,96.2,79833891,79833891
2016-01-19,-0.47,-0.15999,-0.4839,96.66,98.65,"Jan 19, 16",95.5,98.41,AAPL,96.66,98.65,95.5,98.41,53087747,53087747
2016-01-20,0.13,-0.15886,0.1345,96.79,98.19,"Jan 20, 16",93.42,95.1,AAPL,96.79,98.19,93.42,95.1,72334416,72334416
2016-01-21,-0.49,-0.163118,-0.5063,96.3,97.88,"Jan 21, 16",94.94,97.06,AAPL,96.3,97.88,94.94,97.06,52161463,52161463
2016-01-22,5.12,-0.118623,5.3167,101.42,101.46,"Jan 22, 16",98.37,98.63,AAPL,101.42,101.46,98.37,98.63,65800467,65800467
2016-01-25,-1.98,-0.13583,-1.9523,99.44,101.53,"Jan 25, 16",99.21,101.52,AAPL,99.44,101.53,99.21,101.52,51794525,51794525
2016-01-26,0.55,-0.131051,0.5531,99.99,100.88,"Jan 26, 16",98.07,99.93,AAPL,99.99,100.88,98.07,99.93,75077002,75077002
2016-01-27,-6.57,-0.188146,-6.5707,93.42,96.63,"Jan 27, 16",93.34,96.04,AAPL,93.42,96.63,93.34,96.04,133369674,133369674
2016-01-28,0.67,-0.182324,0.7172,94.09,94.52,"Jan 28, 16",92.39,93.79,AAPL,94.09,94.52,92.39,93.79,55678825,55678825
2016-01-29,3.25,-0.15408,3.4541,97.34,97.34,"Jan 29, 16",94.35,94.79,AAPL,97.34,97.34,94.35,94.79,64416504,64416504
2016-02-01,-0.91,-0.161988,-0.9349,96.43,96.71,"Feb 1, 16",95.4,96.47,AAPL,96.43,96.71,95.4,96.47,40943541,40943541
2016-02-02,-1.95,-0.178935,-2.0222,94.48,96.04,"Feb 2, 16",94.28,95.42,AAPL,94.48,96.04,94.28,95.42,37357215,37357215
2016-02-03,1.87,-0.162684,1.9793,96.35,96.84,"Feb 3, 16",94.08,95.0,AAPL,96.35,96.84,94.08,95.0,45964294,45964294
2016-02-04,0.25,-0.160511,0.2595,96.6,97.33,"Feb 4, 16",95.19,95.86,AAPL,96.6,97.33,95.19,95.86,46471652,46471652
2016-02-05,-2.58,-0.182932,-2.6708,94.02,96.92,"Feb 5, 16",93.69,96.52,AAPL,94.02,96.92,93.69,96.52,46418064,46418064
2016-02-08,0.99,-0.174329,1.053,95.01,95.7,"Feb 8, 16",93.04,93.13,AAPL,95.01,95.7,93.04,93.13,54021375,54021375
2016-02-09,-0.02,-0.174502,-0.0211,94.99,95.94,"Feb 9, 16",93.93,94.29,AAPL,94.99,95.94,93.93,94.29,44331195,44331195
2016-02-10,-0.72,-0.18076,-0.758,94.27,96.35,"Feb 10, 16",94.1,95.92,AAPL,94.27,96.35,94.1,95.92,42343601,42343601
2016-02-11,-0.57,-0.185713,-0.6046,93.7,94.72,"Feb 11, 16",92.59,93.79,AAPL,93.7,94.72,92.59,93.79,50074711,50074711
2016-02-12,0.29,-0.183193,0.3095,93.99,94.5,"Feb 12, 16",93.01,94.19,AAPL,93.99,94.5,93.01,94.19,40351381,40351381
2016-02-16,2.65,-0.160163,2.8194,96.64,96.85,"Feb 16, 16",94.61,95.02,AAPL,96.64,96.85,94.61,95.02,49057916,49057916
2016-02-17,1.48,-0.147302,1.5315,98.12,98.21,"Feb 17, 16",96.15,96.67,AAPL,98.12,98.21,96.15,96.67,44863243,44863243
2016-02-18,-1.86,-0.163466,-1.8956,96.26,98.89,"Feb 18, 16",96.09,98.84,AAPL,96.26,98.89,96.09,98.84,39020983,39020983
2016-02-19,-0.22,-0.165378,-0.2285,96.04,96.76,"Feb 19, 16",95.8,96.0,AAPL,96.04,96.76,95.8,96.0,35374173,35374173
2016-02-22,0.84,-0.158078,0.8746,96.88,96.9,"Feb 22, 16",95.92,96.31,AAPL,96.88,96.9,95.92,96.31,34280758,34280758
2016-02-23,-2.19,-0.17711,-2.2605,94.69,96.5,"Feb 23, 16",94.55,96.4,AAPL,94.69,96.5,94.55,96.4,31942633,31942633
2016-02-24,1.41,-0.164856,1.4891,96.1,96.38,"Feb 24, 16",93.32,93.98,AAPL,96.1,96.38,93.32,93.98,36255745,36255745
2016-02-25,0.66,-0.159121,0.6868,96.76,96.76,"Feb 25, 16",95.25,96.05,AAPL,96.76,96.76,95.25,96.05,27582659,27582659
2016-02-26,0.15,-0.157817,0.155,96.91,98.02,"Feb 26, 16",96.58,97.2,AAPL,96.91,98.02,96.58,97.2,28991131,28991131
2016-02-29,-0.22,-0.159729,-0.227,96.69,98.23,"Feb 29, 16",96.65,96.86,AAPL,96.69,98.23,96.65,96.86,35216277,35216277
2016-03-01,3.84,-0.126358,3.9715,100.53,100.77,"Mar 1, 16",97.42,97.65,AAPL,100.53,100.77,97.42,97.65,50407147,50407147
2016-03-02,0.22,-0.124446,0.2188,100.75,100.89,"Mar 2, 16",99.64,100.51,AAPL,100.75,100.89,99.64,100.51,33169560,33169560
2016-03-03,0.75,-0.117928,0.7444,101.5,101.71,"Mar 3, 16",100.45,100.58,AAPL,101.5,101.71,100.45,100.58,36955742,36955742
2016-03-04,1.51,-0.104806,1.4877,103.01,103.75,"Mar 4, 16",101.37,102.37,AAPL,103.01,103.75,101.37,102.37,46055100,46055100
2016-03-07,-1.14,-0.114713,-1.1067,101.87,102.83,"Mar 7, 16",100.96,102.39,AAPL,101.87,102.83,100.96,102.39,35915810,35915810
2016-03-08,-0.84,-0.122013,-0.8246,101.03,101.76,"Mar 8, 16",100.4,100.78,AAPL,101.03,101.76,100.4,100.78,31561889,31561889
2016-03-09,0.09,-0.121231,0.0891,101.12,101.58,"Mar 9, 16",100.27,101.31,AAPL,101.12,101.58,100.27,101.31,27201683,27201683
2016-03-10,0.05,-0.120796,0.0494,101.17,102.24,"Mar 10, 16",100.15,101.41,AAPL,101.17,102.24,100.15,101.41,33513577,33513577
2016-03-11,1.09,-0.111324,1.0774,102.26,102.28,"Mar 11, 16",101.5,102.24,AAPL,102.26,102.28,101.5,102.24,27408237,27408237
2016-03-14,0.26,-0.109064,0.2543,102.52,102.91,"Mar 14, 16",101.78,101.91,AAPL,102.52,102.91,101.78,101.91,25076062,25076062
2016-03-15,2.06,-0.091162,2.0094,104.58,105.18,"Mar 15, 16",103.85,103.96,AAPL,104.58,105.18,103.85,103.96,40067734,40067734
2016-03-16,1.39,-0.079082,1.3291,105.97,106.31,"Mar 16, 16",104.59,104.61,AAPL,105.97,106.31,104.59,104.61,38303493,38303493
2016-03-17,-0.17,-0.08056,-0.1604,105.8,106.47,"Mar 17, 16",104.96,105.52,AAPL,105.8,106.47,104.96,105.52,34420705,34420705
2016-03-18,0.12,-0.079517,0.1134,105.92,106.5,"Mar 18, 16",105.19,106.34,AAPL,105.92,106.5,105.19,106.34,44205171,44205171
2016-03-21,-0.01,-0.079604,-0.0094,105.91,107.65,"Mar 21, 16",105.14,105.93,AAPL,105.91,107.65,105.14,105.93,35502678,35502678
2016-03-22,0.81,-0.072565,0.7648,106.72,107.29,"Mar 22, 16",105.21,105.25,AAPL,106.72,107.29,105.21,105.25,32444375,32444375
2016-03-23,-0.59,-0.077692,-0.5528,106.13,107.07,"Mar 23, 16",105.9,106.48,AAPL,106.13,107.07,105.9,106.48,25703495,25703495
2016-03-24,-0.46,-0.081689,-0.4334,105.67,106.25,"Mar 24, 16",104.89,105.47,AAPL,105.67,106.25,104.89,105.47,26132955,26132955
2016-03-28,-0.48,-0.085861,-0.4542,105.19,106.19,"Mar 28, 16",105.06,106.0,AAPL,105.19,106.19,105.06,106.0,19411372,19411372
2016-03-29,2.49,-0.064222,2.3671,107.68,107.79,"Mar 29, 16",104.88,104.89,AAPL,107.68,107.79,104.88,104.89,31190083,31190083
2016-03-30,1.88,-0.047884,1.7459,109.56,110.42,"Mar 30, 16",108.6,108.65,AAPL,109.56,110.42,108.6,108.65,45601149,45601149
2016-03-31,-0.57,-0.052837,-0.5203,108.99,109.9,"Mar 31, 16",108.88,109.72,AAPL,108.99,109.9,108.88,109.72,25888449,25888449
2016-04-01,1.0,-0.044147,0.9175,109.99,110.0,"Apr 1, 16",108.2,108.78,AAPL,109.99,110.0,108.2,108.78,25873950,25873950
2016-04-04,1.13,-0.034327,1.0274,111.12,112.19,"Apr 4, 16",110.27,110.42,AAPL,111.12,112.19,110.27,110.42,37356204,37356204
2016-04-05,-1.31,-0.045711,-1.1789,109.81,110.73,"Apr 5, 16",109.42,109.51,AAPL,109.81,110.73,109.42,109.51,26578652,26578652
2016-04-06,1.15,-0.035717,1.0473,110.96,110.98,"Apr 6, 16",109.2,110.23,AAPL,110.96,110.98,109.2,110.23,26404077,26404077
2016-04-07,-2.42,-0.056748,-2.181,108.54,110.42,"Apr 7, 16",108.12,109.95,AAPL,108.54,110.42,108.12,109.95,31801870,31801870
2016-04-08,0.12,-0.055705,0.1106,108.66,109.77,"Apr 8, 16",108.17,108.91,AAPL,108.66,109.77,108.17,108.91,23581740,23581740
2016-04-11,0.36,-0.052577,0.3313,109.02,110.61,"Apr 11, 16",108.83,108.97,AAPL,109.02,110.61,108.83,108.97,29407518,29407518
2016-04-12,1.42,-0.040236,1.3025,110.44,110.5,"Apr 12, 16",108.66,109.34,AAPL,110.44,110.5,108.66,109.34,27232325,27232325
2016-04-13,1.6,-0.026332,1.4488,112.04,112.34,"Apr 13, 16",110.8,110.8,AAPL,112.04,112.34,110.8,110.8,33257316,33257316
2016-04-14,0.06,-0.02581,0.0536,112.1,112.39,"Apr 14, 16",111.33,111.62,AAPL,112.1,112.39,111.33,111.62,25473923,25473923
2016-04-15,-2.25,-0.045364,-2.0071,109.85,112.3,"Apr 15, 16",109.73,112.11,AAPL,109.85,112.3,109.73,112.11,46938969,46938969
2016-04-18,-2.37,-0.06596,-2.1575,107.48,108.95,"Apr 18, 16",106.94,108.89,AAPL,107.48,108.95,106.94,108.89,60821461,60821461
2016-04-19,-0.57,-0.070913,-0.5303,106.91,108.0,"Apr 19, 16",106.23,107.88,AAPL,106.91,108.0,106.23,107.88,32384879,32384879
2016-04-20,0.22,-0.069001,0.2058,107.13,108.09,"Apr 20, 16",106.06,106.64,AAPL,107.13,108.09,106.06,106.64,30611030,30611030
2016-04-21,-1.16,-0.079082,-1.0828,105.97,106.93,"Apr 21, 16",105.52,106.93,AAPL,105.97,106.93,105.52,106.93,31552525,31552525
2016-04-22,-0.29,-0.081603,-0.2737,105.68,106.48,"Apr 22, 16",104.62,105.01,AAPL,105.68,106.48,104.62,105.01,33683121,33683121
2016-04-25,-0.6,-0.086817,-0.5678,105.08,105.65,"Apr 25, 16",104.51,105.0,AAPL,105.08,105.65,104.51,105.0,28031588,28031588
2016-04-26,-0.73,-0.093161,-0.6947,104.35,105.3,"Apr 26, 16",103.91,103.91,AAPL,104.35,105.3,103.91,103.91,56016165,56016165
2016-04-27,-6.53,-0.149909,-6.2578,97.82,98.71,"Apr 27, 16",95.68,96.0,AAPL,97.82,98.71,95.68,96.0,114602142,114602142
2016-04-28,-2.99,-0.175893,-3.0566,94.83,97.88,"Apr 28, 16",94.25,97.61,AAPL,94.83,97.88,94.25,97.61,82242690,82242690
2016-04-29,-1.09,-0.185365,-1.1494,93.74,94.72,"Apr 29, 16",92.51,93.99,AAPL,93.74,94.72,92.51,93.99,68531478,68531478
2016-05-02,-0.1,-0.186234,-0.1067,93.64,94.08,"May 2, 16",92.4,93.97,AAPL,93.64,94.08,92.4,93.97,48160104,48160104
2016-05-03,1.54,-0.172851,1.6446,95.18,95.74,"May 3, 16",93.68,94.2,AAPL,95.18,95.74,93.68,94.2,56831277,56831277
2016-05-04,-0.99,-0.181455,-1.0401,94.19,95.9,"May 4, 16",93.82,95.2,AAPL,94.19,95.9,93.82,95.2,41025475,41025475
2016-05-05,-0.95,-0.189711,-1.0086,93.24,94.07,"May 5, 16",92.68,94.0,AAPL,93.24,94.07,92.68,94.0,35890500,35890500
2016-05-06,-0.52,-0.19423,-0.5577,92.72,93.45,"May 6, 16",91.85,93.37,AAPL,92.72,93.45,91.85,93.37,43699886,43699886
2016-05-09,0.07,-0.193621,0.0755,92.79,93.77,"May 9, 16",92.59,93.0,AAPL,92.79,93.77,92.59,93.0,32936436,32936436
2016-05-10,0.63,-0.188146,0.679,93.42,93.57,"May 10, 16",92.11,93.33,AAPL,93.42,93.57,92.11,93.33,33686836,33686836
2016-05-11,-0.91,-0.196055,-0.9741,92.51,93.57,"May 11, 16",92.46,93.48,AAPL,92.51,93.57,92.46,93.48,28719109,28719109
2016-05-12,-2.17,-0.214913,-2.3457,90.34,92.78,"May 12, 16",89.47,92.72,AAPL,90.34,92.78,89.47,92.72,76314690,76314690
2016-05-13,0.18,-0.213348,0.1992,90.52,91.67,"May 13, 16",90.0,90.0,AAPL,90.52,91.67,90.0,90.0,44392765,44392765
2016-05-16,3.36,-0.184149,3.7119,93.88,94.39,"May 16, 16",91.65,92.39,AAPL,93.88,94.39,91.65,92.39,61259756,61259756
2016-05-17,-0.39,-0.187538,-0.4154,93.49,94.7,"May 17, 16",93.01,94.55,AAPL,93.49,94.7,93.01,94.55,46916939,46916939
2016-05-18,1.07,-0.178239,1.1445,94.56,95.21,"May 18, 16",93.89,94.16,AAPL,94.56,95.21,93.89,94.16,42062391,42062391
2016-05-19,-0.36,-0.181368,-0.3807,94.2,94.64,"May 19, 16",93.57,94.64,AAPL,94.2,94.64,93.57,94.64,30442100,30442100
2016-05-20,1.02,-0.172504,1.0828,95.22,95.43,"May 20, 16",94.52,94.64,AAPL,95.22,95.43,94.52,94.64,32025968,32025968
2016-05-23,1.21,-0.161988,1.2707,96.43,97.19,"May 23, 16",95.67,95.87,AAPL,96.43,97.19,95.67,95.87,38018643,38018643
2016-05-24,1.47,-0.149214,1.5244,97.9,98.09,"May 24, 16",96.84,97.22,AAPL,97.9,98.09,96.84,97.22,35140174,35140174
2016-05-25,1.72,-0.134266,1.7569,99.62,99.74,"May 25, 16",98.11,98.67,AAPL,99.62,99.74,98.11,98.67,38642108,38642108
2016-05-26,0.79,-0.127401,0.793,100.41,100.73,"May 26, 16",98.64,99.68,AAPL,100.41,100.73,98.64,99.68,56331159,56331159
2016-05-27,-0.06,-0.127922,-0.0598,100.35,100.47,"May 27, 16",99.25,99.44,AAPL,100.35,100.47,99.25,99.44,36341240,36341240
2016-05-31,-0.49,-0.13218,-0.4883,99.86,100.4,"May 31, 16",98.82,99.6,AAPL,99.86,100.4,98.82,99.6,42307212,42307212
2016-06-01,-1.4,-0.144347,-1.402,98.46,99.54,"Jun 1, 16",98.33,99.02,AAPL,98.46,99.54,98.33,99.02,29173285,29173285
2016-06-02,-0.74,-0.150778,-0.7516,97.72,97.84,"Jun 2, 16",96.63,97.6,AAPL,97.72,97.84,96.63,97.6,40191600,40191600
2016-06-03,0.2,-0.14904,0.2047,97.92,98.27,"Jun 3, 16",97.45,97.79,AAPL,97.92,98.27,97.45,97.79,28504888,28504888
2016-06-06,0.71,-0.14287,0.7251,98.63,101.89,"Jun 6, 16",97.55,97.99,AAPL,98.63,101.89,97.55,97.99,23292504,23292504
2016-06-07,0.4,-0.139393,0.4056,99.03,99.87,"Jun 7, 16",98.96,99.25,AAPL,99.03,99.87,98.96,99.25,22409450,22409450
2016-06-08,-0.09,-0.140176,-0.0909,98.94,99.56,"Jun 8, 16",98.68,99.02,AAPL,98.94,99.56,98.68,99.02,20848131,20848131
2016-06-09,0.71,-0.134005,0.7176,99.65,99.99,"Jun 9, 16",98.46,98.5,AAPL,99.65,99.99,98.46,98.5,26601354,26601354
2016-06-10,-0.82,-0.141131,-0.8229,98.83,99.35,"Jun 10, 16",98.48,98.53,AAPL,98.83,99.35,98.48,98.53,31712936,31712936
2016-06-13,-1.49,-0.15408,-1.5076,97.34,99.12,"Jun 13, 16",97.1,98.69,AAPL,97.34,99.12,97.1,98.69,38020494,38020494
2016-06-14,0.12,-0.153037,0.1233,97.46,98.48,"Jun 14, 16",96.75,97.32,AAPL,97.46,98.48,96.75,97.32,31931944,31931944
2016-06-15,-0.32,-0.155818,-0.3283,97.14,98.41,"Jun 15, 16",97.03,97.82,AAPL,97.14,98.41,97.03,97.82,29445227,29445227
2016-06-16,0.41,-0.152255,0.4221,97.55,97.75,"Jun 16, 16",96.07,96.45,AAPL,97.55,97.75,96.07,96.45,31326815,31326815
2016-06-17,-2.22,-0.171548,-2.2758,95.33,96.65,"Jun 17, 16",95.3,96.62,AAPL,95.33,96.65,95.3,96.62,61008219,61008219
2016-06-20,-0.23,-0.173547,-0.2413,95.1,96.57,"Jun 20, 16",95.03,96.0,AAPL,95.1,96.57,95.03,96.0,34411901,34411901
2016-06-21,0.81,-0.166507,0.8517,95.91,96.35,"Jun 21, 16",94.68,94.94,AAPL,95.91,96.35,94.68,94.94,35546358,35546358
2016-06-22,-0.36,-0.169636,-0.3754,95.55,96.89,"Jun 22, 16",95.35,96.25,AAPL,95.55,96.89,95.35,96.25,29219122,29219122
2016-06-23,0.55,-0.164856,0.5756,96.1,96.29,"Jun 23, 16",95.25,95.94,AAPL,96.1,96.29,95.25,95.94,32240187,32240187
2016-06-24,-2.7,-0.18832,-2.8096,93.4,94.66,"Jun 24, 16",92.65,92.91,AAPL,93.4,94.66,92.65,92.91,75311356,75311356
2016-06-27,-1.36,-0.200139,-1.4561,92.04,93.05,"Jun 27, 16",91.5,93.0,AAPL,92.04,93.05,91.5,93.0,46622188,46622188
